property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,Price_in_Crore
0.0,197.0,3.0,3,3.0,4.0,886.0,0,0,0,1.0,1.0,1.32
0.0,148.0,3.0,3,3.0,0.0,2227.0,0,0,0,2.0,2.0,1.69
1.0,140.0,3.0,9,4.0,0.0,2367.0,1,1,2,2.0,2.0,1.5
0.0,129.0,1.0,1,1.0,3.0,457.0,0,0,0,2.0,2.0,0.365
1.0,136.0,2.0,2,4.0,0.0,900.0,1,1,0,1.0,2.0,1.8125
1.0,91.0,4.0,4,4.0,1.0,5400.0,1,0,2,1.0,1.0,1.7596
0.0,110.0,2.0,3,2.0,2.0,1477.0,0,0,2,1.0,1.0,0.95
0.0,90.0,2.0,3,3.0,3.0,1283.0,1,0,0,2.0,2.0,0.9
0.0,194.0,3.0,3,3.0,0.0,1930.0,1,0,2,0.0,0.0,1.3
0.0,94.0,4.0,5,3.0,3.0,3400.0,1,0,0,0.0,2.0,3.49
1.0,174.0,4.0,5,4.0,2.0,3600.0,1,0,0,1.0,1.0,0.526
0.0,155.0,3.0,4,4.0,0.0,2450.0,1,0,2,1.0,2.0,6.0
0.0,213.0,2.0,2,2.0,0.0,852.0,0,1,0,1.0,1.0,0.5
0.0,86.0,4.0,4,4.0,3.0,3150.0,1,0,0,0.0,0.0,2.62
0.0,133.0,3.0,4,3.0,3.0,1716.0,1,0,0,1.0,2.0,0.99
1.0,86.0,2.0,2,1.0,1.0,795.0,0,0,0,1.0,1.0,1.6673809523809524
0.0,204.0,2.0,2,4.0,4.0,1365.0,0,0,0,2.0,0.0,0.92
0.0,158.0,4.0,4,4.0,3.0,2900.0,0,0,2,2.0,1.0,2.45
1.0,177.0,5.0,4,3.0,1.0,2700.0,0,0,0,1.0,2.0,1.670875
0.0,173.0,3.0,2,3.0,3.0,1507.0,0,0,0,2.0,2.0,0.9
0.0,84.0,3.0,3,3.0,3.0,1312.0,1,0,0,2.0,2.0,1.3
0.0,221.0,2.0,2,3.0,1.0,600.0,0,0,0,1.0,2.0,0.54
0.0,168.0,3.0,3,3.0,1.0,2334.0,1,0,2,0.0,0.0,3.5
1.0,91.0,4.0,5,2.0,3.0,2430.0,1,0,2,2.0,1.0,1.7596
0.0,37.0,4.0,5,4.0,1.0,5800.0,1,0,0,0.0,0.0,5.5
0.0,199.0,4.0,4,4.0,0.0,2200.0,1,0,2,2.0,0.0,1.54
0.0,173.0,4.0,4,1.0,3.0,1970.0,0,0,0,2.0,0.0,1.7
0.0,71.0,2.0,2,1.0,0.0,810.0,0,0,0,1.0,1.0,0.43
0.0,129.0,2.0,2,2.0,3.0,826.0,0,0,0,1.0,2.0,0.75
0.0,109.0,4.0,4,4.0,0.0,3012.0,0,0,2,1.0,2.0,1.25
0.0,134.0,4.0,4,3.0,1.0,2443.0,1,0,0,2.0,1.0,2.08
1.0,137.0,3.0,3,1.0,3.0,13500.0,0,0,0,1.0,1.0,0.4544444444444444
0.0,188.0,2.0,2,2.0,4.0,1222.0,0,0,0,1.0,2.0,0.89
0.0,201.0,3.0,3,3.0,0.0,1607.0,0,0,0,1.0,2.0,0.65
0.0,188.0,2.0,2,2.0,3.0,1250.0,0,0,0,1.0,2.0,1.0
0.0,109.0,3.0,3,4.0,0.0,3011.0,1,0,0,1.0,2.0,1.2
0.0,192.0,4.0,4,3.0,3.0,3295.0,1,0,0,1.0,0.0,2.24
1.0,101.0,6.0,4,2.0,2.0,214.0,0,0,2,1.0,1.0,2.622
0.0,170.0,4.0,5,4.0,0.0,2635.0,1,0,2,0.0,0.0,3.32
0.0,172.0,2.0,2,2.0,1.0,1460.0,0,0,0,1.0,2.0,1.32
0.0,84.0,3.0,3,3.0,3.0,2273.0,1,1,0,2.0,0.0,1.92
1.0,179.0,5.0,5,4.0,3.0,3653.0,1,0,2,1.0,0.0,3.898
0.0,147.0,3.0,4,4.0,0.0,2898.0,0,0,0,1.0,2.0,2.75
0.0,193.0,2.0,2,3.0,3.0,1730.0,0,0,0,1.0,2.0,1.25
1.0,189.0,4.0,4,4.0,3.0,3240.0,1,0,2,1.0,1.0,1.141016129032258
0.0,97.0,4.0,4,4.0,4.0,2611.0,1,0,0,1.0,0.0,2.9
0.0,151.0,3.0,3,4.0,0.0,2600.0,1,0,2,0.0,2.0,2.97
0.0,86.0,3.0,2,2.0,1.0,980.0,0,0,0,1.0,0.0,1.35
0.0,176.0,2.0,2,3.0,3.0,1350.0,0,0,0,1.0,2.0,1.15
0.0,183.0,3.0,4,4.0,3.0,1818.0,1,0,0,1.0,2.0,1.1
0.0,173.0,2.0,2,2.0,0.0,1100.0,0,0,0,1.0,2.0,0.75
0.0,191.0,2.0,2,3.0,3.0,1630.0,0,0,0,1.0,2.0,1.19
1.0,189.0,3.0,3,4.0,1.0,2160.0,1,0,0,1.0,2.0,1.141016129032258
1.0,143.0,9.0,9,4.0,3.0,2700.0,1,0,1,1.0,2.0,3.829565217391304
1.0,115.0,4.0,3,3.0,0.0,1800.0,0,0,0,1.0,2.0,5.033333333333333
1.0,101.0,5.0,5,2.0,0.0,380.0,1,0,2,1.0,2.0,2.622
0.0,96.0,4.0,5,4.0,3.0,3655.35,1,0,2,0.0,2.0,5.49
1.0,182.0,2.0,2,2.0,1.0,745.0,0,0,0,1.0,0.0,1.5946153846153843
0.0,84.0,3.0,4,4.0,3.0,2149.0,1,0,2,2.0,0.0,2.15
0.0,155.0,3.0,3,3.0,4.0,2892.0,0,0,0,2.0,0.0,6.02
0.0,170.0,1.0,1,0.0,3.0,610.0,0,0,0,1.0,1.0,0.8
0.0,189.0,4.0,6,4.0,3.0,4890.0,1,0,2,2.0,0.0,3.0
0.0,163.0,2.0,3,2.0,3.0,1250.0,1,0,2,1.0,2.0,2.15
0.0,191.0,2.0,2,2.0,3.0,1325.0,0,0,2,1.0,2.0,0.75
0.0,201.0,3.0,3,3.0,3.0,1507.0,0,0,0,2.0,1.0,0.71
0.0,188.0,3.0,3,0.0,3.0,1780.0,0,0,0,1.0,2.0,0.9
0.0,167.0,1.0,1,0.0,4.0,693.0,0,0,0,1.0,2.0,0.7
0.0,221.0,2.0,2,2.0,3.0,546.0,0,0,1,2.0,2.0,0.3
1.0,93.0,2.0,5,3.0,3.0,800.0,0,0,0,1.0,2.0,0.495
0.0,194.0,3.0,2,1.0,1.0,1690.0,0,0,0,2.0,1.0,1.25
0.0,158.0,3.0,2,3.0,3.0,2250.0,0,0,2,2.0,2.0,2.11
0.0,164.0,2.0,2,2.0,4.0,1364.0,0,0,0,1.0,1.0,1.65
0.0,91.0,4.0,4,2.0,3.0,2630.0,1,0,0,1.0,0.0,1.97
0.0,173.0,3.0,3,2.0,3.0,1578.0,0,0,0,1.0,1.0,1.7
0.0,199.0,4.0,4,4.0,0.0,2364.0,1,1,0,1.0,2.0,1.42
0.0,191.0,3.0,3,2.0,0.0,1700.0,1,0,0,2.0,0.0,1.25
0.0,179.0,3.0,3,3.0,0.0,1975.0,1,0,2,1.0,2.0,1.9
1.0,141.0,4.0,4,2.0,1.0,3240.0,1,0,0,1.0,2.0,3.075
0.0,148.0,3.0,4,4.0,0.0,2159.0,0,0,0,1.0,2.0,2.7
1.0,98.0,2.0,5,2.0,2.0,1350.0,0,0,0,1.0,2.0,0.7200000000000001
0.0,201.0,3.0,3,2.0,3.0,1920.0,0,0,0,2.0,2.0,1.42
1.0,125.0,4.0,4,4.0,0.0,1449.0,1,1,2,1.0,2.0,2.65
1.0,156.0,4.0,4,4.0,0.0,1000.0,1,1,0,1.0,1.0,4.701904761904761
0.0,147.0,3.0,3,3.0,0.0,1650.0,0,1,1,0.0,1.0,1.42
1.0,158.0,2.0,5,4.0,0.0,1449.0,0,0,0,1.0,2.0,1.4874418604651165
0.0,147.0,3.0,4,3.0,0.0,4886.0,0,0,0,2.0,0.0,5.0
0.0,133.0,3.0,3,3.0,3.0,1763.0,0,0,0,1.0,1.0,1.27
0.0,177.0,3.0,2,2.0,0.0,2460.0,1,0,0,2.0,0.0,2.6
0.0,162.0,3.0,2,2.0,0.0,114.0,0,0,0,2.0,1.0,0.48
0.0,147.0,5.0,5,4.0,2.0,3305.0,1,0,0,2.0,2.0,3.3
0.0,183.0,3.0,3,3.0,3.0,1591.0,0,0,2,1.0,0.0,0.92
1.0,159.0,6.0,6,3.0,2.0,2700.0,1,1,1,2.0,2.0,2.655
0.0,170.0,3.0,4,3.0,1.0,2358.0,1,0,2,0.0,2.0,3.32
0.0,37.0,4.0,4,4.0,0.0,1850.0,0,0,0,2.0,2.0,1.5
0.0,173.0,3.0,3,2.0,3.0,1250.0,0,0,1,0.0,1.0,1.51
0.0,188.0,2.0,2,2.0,3.0,682.0,0,0,0,1.0,2.0,0.39
0.0,109.0,3.0,3,4.0,0.0,2287.0,1,0,0,1.0,2.0,0.9
0.0,37.0,2.0,2,1.0,2.0,1051.0,0,0,2,1.0,0.0,0.56
0.0,134.0,3.0,3,4.0,3.0,1811.0,0,0,0,2.0,0.0,1.55
0.0,185.0,3.0,3,2.0,3.0,980.0,0,0,2,0.0,1.0,1.25
0.0,221.0,1.0,1,1.0,3.0,406.0,0,0,0,2.0,1.0,0.25
0.0,185.0,2.0,2,3.0,1.0,89.0,0,0,0,2.0,2.0,1.1
0.0,112.0,3.0,3,3.0,3.0,1860.0,0,0,1,1.0,2.0,2.55
0.0,88.0,3.0,4,4.0,3.0,1345.0,1,0,0,0.0,2.0,1.05
0.0,147.0,3.0,3,4.0,3.0,2000.0,1,0,2,0.0,2.0,2.7
0.0,133.0,3.0,3,3.0,1.0,1400.0,0,0,0,1.0,2.0,1.26
0.0,94.0,3.0,3,4.0,3.0,1929.0,1,0,0,2.0,2.0,1.25
0.0,88.0,3.0,4,4.0,3.0,1186.0,1,0,0,0.0,2.0,1.2
